time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-05-15 00:00:00+00:00,21,6,0,0
2026-05-16 00:00:00+00:00,22,9,0,0
2026-05-17 00:00:00+00:00,7,2,0,0
2026-05-18 00:00:00+00:00,29,8,1,1
2026-05-19 00:00:00+00:00,24,7,8,1
2026-05-20 00:00:00+00:00,15,6,14,1
2026-05-21 00:00:00+00:00,14,5,1,1
2026-05-22 00:00:00+00:00,20,6,1,1
2026-05-23 00:00:00+00:00,17,9,0,0
2026-05-24 00:00:00+00:00,15,9,0,0
2026-05-25 00:00:00+00:00,13,3,23,1
2026-05-26 00:00:00+00:00,23,10,8,1
2026-05-27 00:00:00+00:00,11,5,2,1
2026-05-28 00:00:00+00:00,14,5,11,1
